(u'wednesday may 23 1990', '1990-05-23')
(u'15 mar 2001', '2001-03-15')
(u'monday march 21 1983', '1983-03-21')
(u'monday october 17 1983', '1983-10-17')
(u'jul 20 1973', '1973-07-20')
(u'2 feb 1998', '1998-02-02')
(u'saturday december 4 1976', '1976-12-04')
(u'sunday april 7 1996', '1996-04-07')
(u'thursday october 4 1990', '1990-10-04')
(u'wednesday august 30 1978', '1978-08-30')
(u'17 jul 2002', '2002-07-17')
(u'january 19 2014', '2014-01-19')
(u'1 december 1999', '1999-12-01')
(u'29 jul 2003', '2003-07-29')
(u'february 16 2014', '2014-02-16')
(u'wednesday march 9 1983', '1983-03-09')
(u'february 22 2013', '2013-02-22')
(u'tuesday february 28 1984', '1984-02-28')
(u'thursday february 16 1995', '1995-02-16')
(u'13 mar 2003', '2003-03-13')
(u'27 jul 2004', '2004-07-27')
(u'november 5 2013', '2013-11-05')
(u'saturday september 4 1976', '1976-09-04')
(u'monday august 7 1995', '1995-08-07')
(u'13 sep 2001', '2001-09-13')
(u'friday july 24 1987', '1987-07-24')
(u'04 apr 2001', '2001-04-04')
(u'august 10 2013', '2013-08-10')
(u'july 31 2014', '2014-07-31')
(u'tuesday february 2 1988', '1988-02-02')
(u'september 2 2013', '2013-09-02')
(u'22 dec 2003', '2003-12-22')
(u'sunday december 14 1986', '1986-12-14')
(u'nov 5 1973', '1973-11-05')
(u'13 may 1998', '1998-05-13')
(u'saturday april 20 1985', '1985-04-20')
(u'may 14 2015', '2015-05-14')
(u'14.05.18', '2018-05-14')
(u'tuesday july 10 1990', '1990-07-10')
(u'1 february 1999', '1999-02-01')
(u'thursday january 23 1986', '1986-01-23')
(u'monday june 2 1980', '1980-06-02')
(u'sunday march 12 1995', '1995-03-12')
(u'november 15 2016', '2016-11-15')
(u'january 5 2013', '2013-01-05')
(u'19 may 2005', '2005-05-19')
(u'26 nov 2001', '2001-11-26')
(u'saturday november 27 1982', '1982-11-27')
(u'friday may 30 1980', '1980-05-30')
(u'03 jul 2008', '2008-07-03')
(u'21 aug 1996', '1996-08-21')
(u'07 jan 2001', '2001-01-07')
(u'11 02 09', '2009-02-11')
(u'monday june 14 1982', '1982-06-14')
(u'sunday march 18 1984', '1984-03-18')
(u'1 aug 1997', '1997-08-01')
(u'sunday december 15 1985', '1985-12-15')
(u'monday september 25 1995', '1995-09-25')
(u'monday november 26 1990', '1990-11-26')
(u'26 12 08', '2008-12-26')
(u'26 09 09', '2009-09-26')
(u'saturday april 27 1985', '1985-04-27')
(u'28 nov 1996', '1996-11-28')
(u'2 01 09', '2009-01-02')
(u'23 aug 2003', '2003-08-23')
(u'november 6 2014', '2014-11-06')
(u'june 18 2016', '2016-06-18')
(u'31 december 2004', '2004-12-31')
(u'15 may 2008', '2008-05-15')
(u'monday july 28 1980', '1980-07-28')
(u'friday august 4 1989', '1989-08-04')
(u'friday march 4 1994', '1994-03-04')
(u'tuesday april 20 1976', '1976-04-20')
(u'friday january 26 1996', '1996-01-26')
(u'tuesday may 10 1988', '1988-05-10')
(u'february 15 1974', '1974-02-15')
(u'march 9 2013', '2013-03-09')
(u'7 jan 1997', '1997-01-07')
(u'21 november 1999', '1999-11-21')
(u'thursday february 28 1980', '1980-02-28')
(u'wednesday december 18 1991', '1991-12-18')
(u'friday may 11 1984', '1984-05-11')
(u'05 dec 2007', '2007-12-05')
(u'aug 2 1973', '1973-08-02')
(u'thursday april 6 1995', '1995-04-06')
(u'29 december 2010', '2010-12-29')
(u'28 sep 2003', '2003-09-28')
(u'tuesday january 24 1978', '1978-01-24')
(u'friday june 2 1989', '1989-06-02')
(u'monday february 6 1984', '1984-02-06')
(u'31 aug 1996', '1996-08-31')
(u'sunday october 1 1989', '1989-10-01')
(u'5/15/71', '1971-05-15')
(u'friday may 10 1991', '1991-05-10')
(u'19 dec 1996', '1996-12-19')
(u'28 sep 2000', '2000-09-28')
(u'friday october 12 1979', '1979-10-12')
(u'saturday august 28 1976', '1976-08-28')
(u'thursday march 3 1983', '1983-03-03')
(u'june 27 1974', '1974-06-27')
(u'sunday december 18 1988', '1988-12-18')
(u'15 jun 2002', '2002-06-15')
(u'wednesday july 10 1985', '1985-07-10')
(u'22 oct 2000', '2000-10-22')
(u'thursday february 29 1996', '1996-02-29')
(u'thursday july 7 1983', '1983-07-07')
(u'04 jul 2002', '2002-07-04')
(u'4 01 09', '2009-01-04')
(u'29.11.17', '2017-11-29')
(u'monday july 18 1994', '1994-07-18')
(u'saturday march 2 1985', '1985-03-02')
(u'saturday january 16 1993', '1993-01-16')
(u'22 03 10', '2010-03-22')
(u'22 dec 2001', '2001-12-22')
(u'saturday april 24 1993', '1993-04-24')
(u'dec 6 1973', '1973-12-06')
(u'22 03 09', '2009-03-22')
(u'21 aug 1997', '1997-08-21')
(u'wednesday september 21 1983', '1983-09-21')
(u'friday august 25 1995', '1995-08-25')
(u'7 jun 1997', '1997-06-07')
(u'wednesday january 4 1978', '1978-01-04')
(u'26.09.18', '2018-09-26')
(u'09 dec 2007', '2007-12-09')
(u'tuesday june 5 1984', '1984-06-05')
(u'sunday september 19 1982', '1982-09-19')
(u'09.04.17', '2017-04-09')
(u'friday october 5 1990', '1990-10-05')
(u'sunday october 6 1985', '1985-10-06')
(u'7 03 10', '2010-03-07')
(u'saturday december 10 1977', '1977-12-10')
(u'monday april 11 1977', '1977-04-11')
(u'saturday july 2 1994', '1994-07-02')
(u'1/15/72', '1972-01-15')
(u'3 10 09', '2009-10-03')
(u'31 august 2011', '2011-08-31')
(u'30 oct 2000', '2000-10-30')
(u'21.06.18', '2018-06-21')
(u'30 jun 1998', '1998-06-30')
(u'thursday march 21 1985', '1985-03-21')
(u'november 4 1974', '1974-11-04')
(u'tuesday october 17 1989', '1989-10-17')
(u'thursday may 5 1988', '1988-05-05')
(u'sunday july 26 1992', '1992-07-26')
(u'tuesday may 14 1985', '1985-05-14')
(u'5 may 2000', '2000-05-05')
(u'tuesday may 17 1994', '1994-05-17')
(u'wednesday july 1 1981', '1981-07-01')
(u'friday march 22 1991', '1991-03-22')
(u'friday september 8 1989', '1989-09-08')
(u'thursday april 7 1983', '1983-04-07')
(u'5 nov 1996', '1996-11-05')
(u'may 14 1972', '1972-05-14')
(u'friday january 9 1981', '1981-01-09')
(u'saturday august 4 1990', '1990-08-04')
(u'24 feb 2003', '2003-02-24')
(u'may 22 1975', '1975-05-22')
(u'09 nov 2006', '2006-11-09')
(u'25 jul 2002', '2002-07-25')
(u'08.04.17', '2017-04-08')
(u'tuesday september 21 1993', '1993-09-21')
(u'tuesday april 7 1981', '1981-04-07')
(u'27 december 2010', '2010-12-27')
(u'tuesday april 28 1981', '1981-04-28')
(u'sunday july 25 1982', '1982-07-25')
(u'wednesday june 13 1984', '1984-06-13')
(u'4 july 2006', '2006-07-04')
(u'3/12/70', '1970-03-12')
(u'friday april 20 1984', '1984-04-20')
(u'25 aug 2004', '2004-08-25')
(u'6 july 2011', '2011-07-06')
(u'wednesday april 11 1984', '1984-04-11')
(u'12 apr 2002', '2002-04-12')
(u'friday august 23 1991', '1991-08-23')
(u'friday january 3 1992', '1992-01-03')
(u'sunday february 8 1987', '1987-02-08')
(u'27 february 2011', '2011-02-27')
(u'monday november 29 1982', '1982-11-29')
(u'14 september 1999', '1999-09-14')
(u'26 january 2006', '2006-01-26')
(u'april 12 2013', '2013-04-12')
(u'sunday march 26 1995', '1995-03-26')
(u'saturday january 28 1984', '1984-01-28')
(u'15 sep 2007', '2007-09-15')
(u'7/20/70', '1970-07-20')
(u'may 18 1972', '1972-05-18')
(u'aug 30 1973', '1973-08-30')
(u'monday april 9 1984', '1984-04-09')
(u'21 september 2011', '2011-09-21')
(u'friday november 13 1981', '1981-11-13')
(u'may 30 2015', '2015-05-30')
(u'25 april 2005', '2005-04-25')
(u'31 dec 2003', '2003-12-31')
(u'21.09.17', '2017-09-21')
(u'sunday april 10 1994', '1994-04-10')
(u'november 24 2015', '2015-11-24')
(u'june 29 1974', '1974-06-29')
(u'monday march 7 1983', '1983-03-07')
(u'3 06 09', '2009-06-03')
(u'01 oct 2001', '2001-10-01')
(u'4 december 2005', '2005-12-04')
(u'saturday november 11 1978', '1978-11-11')
(u'tuesday august 8 1995', '1995-08-08')
(u'tuesday july 9 1985', '1985-07-09')
(u'dec 25 1972', '1972-12-25')
(u'25 jul 2007', '2007-07-25')
(u'friday october 19 1984', '1984-10-19')
(u'august 16 1975', '1975-08-16')
(u'21 jan 1997', '1997-01-21')
(u'wednesday february 17 1993', '1993-02-17')
(u'wednesday october 20 1976', '1976-10-20')
(u'27 dec 2002', '2002-12-27')
(u'22 nov 2007', '2007-11-22')
(u'august 6 2015', '2015-08-06')
(u'26 december 1999', '1999-12-26')
(u'10 oct 2001', '2001-10-10')
(u'tuesday april 4 1995', '1995-04-04')
(u'saturday january 24 1981', '1981-01-24')
(u'15 march 2006', '2006-03-15')
(u'27 07 10', '2010-07-27')
(u'saturday november 8 1980', '1980-11-08')
(u'29 mar 1997', '1997-03-29')
(u'friday august 5 1983', '1983-08-05')
(u'18.03.17', '2017-03-18')
(u'thursday may 11 1989', '1989-05-11')
(u'september 12 2016', '2016-09-12')
(u'september 1 2013', '2013-09-01')
(u'20 nov 2001', '2001-11-20')
(u'3/26/71', '1971-03-26')
(u'5/10/70', '1970-05-10')
(u'saturday december 28 1991', '1991-12-28')
(u'saturday december 31 1994', '1994-12-31')
(u'29 apr 2008', '2008-04-29')
(u'09 nov 2001', '2001-11-09')
(u'monday august 13 1990', '1990-08-13')
(u'december 7 1974', '1974-12-07')
(u'21 july 2012', '2012-07-21')
(u'thursday march 18 1976', '1976-03-18')
(u'march 14 1975', '1975-03-14')
(u'monday may 28 1984', '1984-05-28')
(u'wednesday november 12 1980', '1980-11-12')
(u'22.06.18', '2018-06-22')
(u'january 14 1976', '1976-01-14')
(u'08 oct 2006', '2006-10-08')
(u'21 may 1998', '1998-05-21')
(u'12 august 2006', '2006-08-12')
(u'wednesday may 2 1979', '1979-05-02')
(u'05.10.17', '2017-10-05')
(u'wednesday may 20 1981', '1981-05-20')
(u'21.12.16', '2016-12-21')
(u'28.01.17', '2017-01-28')
(u'4/17/70', '1970-04-17')
(u'25 november 1999', '1999-11-25')
(u'24 oct 1996', '1996-10-24')
(u'saturday september 23 1995', '1995-09-23')
(u'tuesday march 31 1987', '1987-03-31')
(u'friday june 3 1988', '1988-06-03')
(u'sunday june 19 1977', '1977-06-19')
(u'monday may 16 1977', '1977-05-16')
(u'5 10 08', '2008-10-05')
(u'july 23 1974', '1974-07-23')
(u'4 aug 2004', '2004-08-04')
(u'friday january 6 1989', '1989-01-06')
(u'13 12 08', '2008-12-13')
(u'monday september 1 1986', '1986-09-01')
(u'21.09.18', '2018-09-21')
(u'24 aug 2001', '2001-08-24')
(u'sunday july 29 1990', '1990-07-29')
(u'may 3 1973', '1973-05-03')
(u'monday february 17 1986', '1986-02-17')
(u'february 26 1974', '1974-02-26')
(u'14 09 10', '2010-09-14')
(u'december 8 2012', '2012-12-08')
(u'26.02.17', '2017-02-26')
(u'may 30 2016', '2016-05-30')
(u'aug 20 1973', '1973-08-20')
(u'monday august 16 1993', '1993-08-16')
(u'jul 2 1973', '1973-07-02')
(u'28 january 2005', '2005-01-28')
(u'5/29/70', '1970-05-29')
(u'friday january 7 1977', '1977-01-07')
(u'friday may 7 1993', '1993-05-07')
(u'september 5 1975', '1975-09-05')
(u'8/28/71', '1971-08-28')
(u'5 12 09', '2009-12-05')
(u'03 mar 2007', '2007-03-03')
(u'3/24/71', '1971-03-24')
(u'friday january 14 1994', '1994-01-14')
(u'15 december 2004', '2004-12-15')
(u'25 sep 2003', '2003-09-25')
(u'29 aug 2007', '2007-08-29')
(u'14 september 2011', '2011-09-14')
(u'31 dec 2000', '2000-12-31')
(u'wednesday march 8 1995', '1995-03-08')
(u'wednesday september 16 1981', '1981-09-16')
(u'4/9/71', '1971-04-09')
(u'wednesday may 27 1981', '1981-05-27')
(u'friday february 20 1987', '1987-02-20')
(u'5/21/71', '1971-05-21')
(u'march 17 2016', '2016-03-17')
(u'monday december 30 1991', '1991-12-30')
(u'sunday february 13 1977', '1977-02-13')
(u'thursday march 2 1978', '1978-03-02')
(u'monday july 22 1985', '1985-07-22')
(u'thursday january 27 1983', '1983-01-27')
(u'february 11 1975', '1975-02-11')
(u'27 june 2000', '2000-06-27')
(u'sunday january 9 1983', '1983-01-09')
(u'29 nov 2003', '2003-11-29')
(u'sunday december 12 1976', '1976-12-12')
(u'july 24 2015', '2015-07-24')
(u'24 december 2004', '2004-12-24')
(u'friday september 15 1989', '1989-09-15')
(u'wednesday november 25 1992', '1992-11-25')
(u'13 aug 2000', '2000-08-13')
(u'october 22 2016', '2016-10-22')
(u'5 12 08', '2008-12-05')
(u'saturday september 9 1995', '1995-09-09')
(u'friday march 2 1984', '1984-03-02')
(u'17 jun 2003', '2003-06-17')
(u'thursday december 26 1985', '1985-12-26')
(u'saturday february 16 1991', '1991-02-16')
(u'friday december 17 1976', '1976-12-17')
(u'28 nov 1996', '1996-11-28')
(u'tuesday february 3 1981', '1981-02-03')
(u'friday january 22 1988', '1988-01-22')
(u'nov 12 1973', '1973-11-12')
(u'tuesday june 7 1977', '1977-06-07')
(u'thursday november 16 1978', '1978-11-16')
(u'7/30/71', '1971-07-30')
(u'27 jul 2004', '2004-07-27')
(u'december 15 1974', '1974-12-15')
(u'dec 16 1973', '1973-12-16')
(u'12.09.18', '2018-09-12')
(u'27 jun 1997', '1997-06-27')
(u'19 sep 2006', '2006-09-19')
(u'3 dec 1997', '1997-12-03')
(u'31.12.16', '2016-12-31')
(u'friday december 10 1993', '1993-12-10')
(u'19 october 1999', '1999-10-19')
(u'wednesday april 5 1978', '1978-04-05')
(u'27 02 09', '2009-02-27')
(u'january 27 1976', '1976-01-27')
(u'sunday july 27 1986', '1986-07-27')
(u'february 16 2015', '2015-02-16')
(u'monday october 28 1985', '1985-10-28')
(u'tuesday april 20 1982', '1982-04-20')
(u'friday july 20 1990', '1990-07-20')
(u'sunday november 16 1980', '1980-11-16')
(u'wednesday august 18 1993', '1993-08-18')
(u'11/20/71', '1971-11-20')
(u'dec 5 1972', '1972-12-05')
(u'5 dec 1996', '1996-12-05')
(u'sunday december 26 1982', '1982-12-26')
(u'11/7/70', '1970-11-07')
(u'monday march 19 1990', '1990-03-19')
(u'24.10.18', '2018-10-24')
(u'sunday december 28 1980', '1980-12-28')
(u'may 30 2016', '2016-05-30')
(u'tuesday november 29 1988', '1988-11-29')
(u'13 march 2005', '2005-03-13')
(u'25 december 2005', '2005-12-25')
(u'monday june 21 1993', '1993-06-21')
(u'7 09 10', '2010-09-07')
(u'7 november 2011', '2011-11-07')
(u'monday november 27 1978', '1978-11-27')
(u'13 jul 1998', '1998-07-13')
(u'08.06.17', '2017-06-08')
(u'30 sep 1997', '1997-09-30')
(u'thursday january 7 1993', '1993-01-07')
(u'friday october 21 1988', '1988-10-21')
(u'friday february 1 1991', '1991-02-01')
(u'wednesday january 8 1992', '1992-01-08')
(u'monday february 18 1980', '1980-02-18')
(u'thursday december 20 1979', '1979-12-20')
(u'sunday january 28 1979', '1979-01-28')
(u'monday june 16 1986', '1986-06-16')
(u'saturday march 14 1981', '1981-03-14')
(u'09 apr 2007', '2007-04-09')
(u'wednesday july 11 1984', '1984-07-11')
(u'21 nov 2002', '2002-11-21')
(u'december 30 2015', '2015-12-30')
(u'february 16 2014', '2014-02-16')
(u'21 october 2004', '2004-10-21')
(u'february 20 2015', '2015-02-20')
(u'14 march 1999', '1999-03-14')
(u'17.10.17', '2017-10-17')
(u'tuesday april 25 1978', '1978-04-25')
(u'february 19 2013', '2013-02-19')
(u'9 nov 2003', '2003-11-09')
(u'9 oct 1997', '1997-10-09')
(u'saturday august 5 1989', '1989-08-05')
(u'7 jul 1998', '1998-07-07')
(u'01.11.18', '2018-11-01')
(u'30 may 2006', '2006-05-30')
(u'wednesday january 5 1994', '1994-01-05')
(u'may 14 2016', '2016-05-14')
(u'19 01 10', '2010-01-19')
(u'wednesday february 20 1980', '1980-02-20')
(u'13 nov 2007', '2007-11-13')
(u'january 25 1975', '1975-01-25')
(u'june 11 2014', '2014-06-11')
(u'monday may 8 1978', '1978-05-08')
(u'september 3 2016', '2016-09-03')
(u'wednesday december 6 1989', '1989-12-06')
(u'sunday april 11 1982', '1982-04-11')
(u'friday september 8 1978', '1978-09-08')
(u'17 jun 2007', '2007-06-17')
(u'august 21 1974', '1974-08-21')
(u'march 22 1975', '1975-03-22')
(u'may 19 2014', '2014-05-19')
(u'13 dec 2000', '2000-12-13')
(u'18 june 1999', '1999-06-18')
(u'23 jun 2008', '2008-06-23')
(u'17 jul 1998', '1998-07-17')
(u'friday september 25 1987', '1987-09-25')
(u'friday december 11 1992', '1992-12-11')
(u'may 12 2013', '2013-05-12')
(u'12/29/70', '1970-12-29')
(u'saturday april 25 1987', '1987-04-25')
(u'24 july 2006', '2006-07-24')
(u'december 20 1975', '1975-12-20')
(u'friday july 29 1994', '1994-07-29')
(u'sunday november 7 1976', '1976-11-07')
(u'sunday december 5 1982', '1982-12-05')
(u'12 july 2006', '2006-07-12')
(u'28 jul 2003', '2003-07-28')
(u'saturday january 28 1984', '1984-01-28')
(u'sunday february 19 1989', '1989-02-19')
(u'tuesday october 9 1979', '1979-10-09')
(u'oct 10 1972', '1972-10-10')
(u'july 29 2015', '2015-07-29')
(u'january 3 2015', '2015-01-03')
(u'18.08.17', '2017-08-18')
(u'friday may 8 1981', '1981-05-08')
(u'june 28 1975', '1975-06-28')
(u'8 03 09', '2009-03-08')
(u'17 february 1999', '1999-02-17')
(u'14 feb 2008', '2008-02-14')
(u'thursday july 12 1990', '1990-07-12')
(u'29.12.16', '2016-12-29')
(u'11 apr 1998', '1998-04-11')
(u'13 mar 2007', '2007-03-13')
(u'tuesday august 14 1984', '1984-08-14')
(u'friday november 7 1980', '1980-11-07')
(u'28 jun 2004', '2004-06-28')
(u'28 july 2005', '2005-07-28')
(u'july 28 2014', '2014-07-28')
(u'saturday august 15 1987', '1987-08-15')
(u'friday january 29 1982', '1982-01-29')
(u'monday june 17 1985', '1985-06-17')
(u'saturday february 17 1979', '1979-02-17')
(u'thursday july 5 1979', '1979-07-05')
(u'wednesday february 21 1979', '1979-02-21')
(u'july 28 2013', '2013-07-28')
(u'august 4 2014', '2014-08-04')
(u'3 jun 2004', '2004-06-03')
(u'7/16/70', '1970-07-16')
(u'april 24 2016', '2016-04-24')
(u'april 21 2014', '2014-04-21')
(u'friday april 25 1980', '1980-04-25')
(u'saturday september 10 1988', '1988-09-10')
(u'tuesday january 8 1985', '1985-01-08')
(u'thursday june 6 1996', '1996-06-06')
(u'thursday june 3 1993', '1993-06-03')
(u'17 jan 2003', '2003-01-17')
(u'29 mar 2001', '2001-03-29')
(u'29.04.18', '2018-04-29')
(u'11 february 2005', '2005-02-11')
(u'saturday november 23 1985', '1985-11-23')
(u'30 june 2000', '2000-06-30')
(u'wednesday october 21 1987', '1987-10-21')
(u'05 jun 2002', '2002-06-05')
(u'tuesday august 17 1993', '1993-08-17')
(u'19 sep 2006', '2006-09-19')
(u'27 aug 2001', '2001-08-27')
(u'22 december 1998', '1998-12-22')
(u'monday august 9 1982', '1982-08-09')
(u'monday may 28 1984', '1984-05-28')
(u'23.06.17', '2017-06-23')
(u'february 23 1974', '1974-02-23')
(u'04.12.18', '2018-12-04')
(u'friday april 10 1981', '1981-04-10')
(u'2/14/71', '1971-02-14')
(u'march 5 1975', '1975-03-05')
(u'8 02 09', '2009-02-08')
(u'thursday july 8 1982', '1982-07-08')
(u'30 apr 2003', '2003-04-30')
(u'july 30 1974', '1974-07-30')
(u'21.03.17', '2017-03-21')
(u'may 23 2013', '2013-05-23')
(u'monday april 25 1994', '1994-04-25')
(u'08 feb 2008', '2008-02-08')
(u'10.02.18', '2018-02-10')
(u'friday june 22 1979', '1979-06-22')
(u'saturday january 5 1991', '1991-01-05')
(u'february 1 1975', '1975-02-01')
(u'thursday december 2 1976', '1976-12-02')
(u'friday june 12 1987', '1987-06-12')
(u'monday may 16 1994', '1994-05-16')
(u'27 apr 2007', '2007-04-27')
(u'19 03 09', '2009-03-19')
(u'13 apr 2002', '2002-04-13')
(u'friday may 2 1980', '1980-05-02')
(u'sunday june 29 1980', '1980-06-29')
(u'saturday june 21 1980', '1980-06-21')
(u'saturday february 19 1983', '1983-02-19')
(u'24 jul 1997', '1997-07-24')
(u'23 jun 1998', '1998-06-23')
(u'friday september 25 1987', '1987-09-25')
(u'june 15 2014', '2014-06-15')
(u'wednesday june 8 1988', '1988-06-08')
(u'friday july 29 1983', '1983-07-29')
(u'sunday december 15 1985', '1985-12-15')
(u'31 august 1998', '1998-08-31')
(u'23 march 2006', '2006-03-23')
(u'19 08 10', '2010-08-19')
(u'25 jun 1998', '1998-06-25')
(u'aug 4 1972', '1972-08-04')
(u'june 23 2015', '2015-06-23')
(u'9 10 10', '2010-10-09')
(u'jun 25 1973', '1973-06-25')
(u'december 1 1975', '1975-12-01')
(u'17 jun 2002', '2002-06-17')
(u'saturday july 26 1986', '1986-07-26')
(u'25 08 10', '2010-08-25')
(u'21 jun 2008', '2008-06-21')
(u'monday july 9 1979', '1979-07-09')
(u'1 february 2000', '2000-02-01')
(u'april 15 2016', '2016-04-15')
(u'saturday april 30 1977', '1977-04-30')
(u'monday march 29 1982', '1982-03-29')
(u'22 january 2005', '2005-01-22')
(u'30 december 1999', '1999-12-30')
(u'wednesday december 16 1987', '1987-12-16')
(u'9 01 09', '2009-01-09')
(u'august 13 1974', '1974-08-13')
(u'10 07 10', '2010-07-10')
(u'30.06.17', '2017-06-30')
(u'saturday august 13 1994', '1994-08-13')
(u'april 5 2014', '2014-04-05')
(u'saturday april 7 1984', '1984-04-07')
(u'tuesday january 31 1995', '1995-01-31')
(u'sunday september 23 1990', '1990-09-23')
(u'15 dec 1997', '1997-12-15')
(u'tuesday january 6 1987', '1987-01-06')
(u'07.07.18', '2018-07-07')
(u'27 may 2012', '2012-05-27')
(u'12/26/71', '1971-12-26')
(u'19.04.17', '2017-04-19')
(u'wednesday january 13 1993', '1993-01-13')
(u'17 march 2005', '2005-03-17')
(u'saturday april 9 1988', '1988-04-09')
(u'march 8 1974', '1974-03-08')
(u'07 jun 2007', '2007-06-07')
(u'tuesday november 22 1994', '1994-11-22')
(u'monday february 14 1983', '1983-02-14')
(u'thursday april 15 1976', '1976-04-15')
(u'22 02 09', '2009-02-22')
(u'saturday september 6 1980', '1980-09-06')
(u'tuesday april 6 1982', '1982-04-06')
(u'july 4 2015', '2015-07-04')
(u'17 october 1999', '1999-10-17')
(u'1 january 2012', '2012-01-01')
(u'23.06.18', '2018-06-23')
(u'3/2/70', '1970-03-02')
(u'monday december 12 1977', '1977-12-12')
(u'8 dec 2002', '2002-12-08')
(u'26 february 2000', '2000-02-26')
(u'4/13/70', '1970-04-13')
(u'02.05.18', '2018-05-02')
(u'03.04.18', '2018-04-03')
(u'june 1 1975', '1975-06-01')
(u'22 april 1999', '1999-04-22')
(u'11 may 2002', '2002-05-11')
(u'30.10.18', '2018-10-30')
(u'7/24/70', '1970-07-24')
(u'friday may 5 1989', '1989-05-05')
(u'tuesday april 24 1979', '1979-04-24')
(u'10 feb 1997', '1997-02-10')
(u'11 november 1998', '1998-11-11')
(u'04 dec 2000', '2000-12-04')
(u'29 jul 2001', '2001-07-29')
(u'saturday november 26 1988', '1988-11-26')
(u'thursday june 24 1976', '1976-06-24')
(u'october 6 1975', '1975-10-06')
(u'saturday january 15 1977', '1977-01-15')
(u'21.03.18', '2018-03-21')
(u'4 mar 2003', '2003-03-04')
(u'saturday september 20 1986', '1986-09-20')
(u'january 23 2016', '2016-01-23')
(u'sep 14 1973', '1973-09-14')
(u'5 feb 1997', '1997-02-05')
(u'10 may 2006', '2006-05-10')
(u'sunday november 22 1987', '1987-11-22')
(u'22 october 2012', '2012-10-22')
(u'25 oct 2001', '2001-10-25')
(u'01 dec 2006', '2006-12-01')
(u'tuesday may 25 1976', '1976-05-25')
(u'3 aug 1996', '1996-08-03')
(u'tuesday may 19 1987', '1987-05-19')
(u'01.08.17', '2017-08-01')
(u'april 9 2013', '2013-04-09')
(u'23 march 2012', '2012-03-23')
(u'sunday may 10 1987', '1987-05-10')
(u'28 feb 1997', '1997-02-28')
(u'friday january 5 1996', '1996-01-05')
(u'4 july 2006', '2006-07-04')
(u'21 11 08', '2008-11-21')
(u'1 september 2005', '2005-09-01')
(u'8/31/71', '1971-08-31')
(u'tuesday november 3 1981', '1981-11-03')
(u'august 5 2013', '2013-08-05')
(u'9 august 2006', '2006-08-09')
(u'friday march 7 1986', '1986-03-07')
(u'september 6 1974', '1974-09-06')
(u'august 2 2016', '2016-08-02')
(u'30 dec 2000', '2000-12-30')
(u'11 mar 2004', '2004-03-11')
(u'tuesday december 11 1990', '1990-12-11')
(u'12 apr 1998', '1998-04-12')
(u'monday october 7 1985', '1985-10-07')
(u'sunday november 8 1992', '1992-11-08')
(u'02.03.18', '2018-03-02')
(u'mar 31 1973', '1973-03-31')
(u'9/4/70', '1970-09-04')
(u'11 02 10', '2010-02-11')
(u'august 30 2014', '2014-08-30')
(u'11/21/71', '1971-11-21')
(u'30 jan 2004', '2004-01-30')
(u'8/1/70', '1970-08-01')
(u'saturday april 8 1978', '1978-04-08')
(u'march 27 1974', '1974-03-27')
(u'12 february 2011', '2011-02-12')
(u'sunday april 3 1977', '1977-04-03')
(u'4/17/71', '1971-04-17')
(u'14 april 2011', '2011-04-14')
(u'21 02 09', '2009-02-21')
(u'dec 22 1972', '1972-12-22')
(u'saturday december 26 1981', '1981-12-26')
(u'sunday january 14 1990', '1990-01-14')
(u'saturday june 20 1992', '1992-06-20')
(u'july 7 1975', '1975-07-07')
(u'saturday september 1 1984', '1984-09-01')
(u'13 february 2006', '2006-02-13')
(u'july 26 2013', '2013-07-26')
(u'14 february 2000', '2000-02-14')
(u'sunday january 9 1983', '1983-01-09')
(u'june 11 2014', '2014-06-11')
(u'saturday july 15 1989', '1989-07-15')
(u'february 2 1976', '1976-02-02')
(u'12 feb 2007', '2007-02-12')
(u'31 march 1999', '1999-03-31')
(u'11/16/71', '1971-11-16')
(u'friday november 28 1986', '1986-11-28')
(u'thursday november 25 1982', '1982-11-25')
(u'15 05 09', '2009-05-15')
(u'thursday march 26 1981', '1981-03-26')
(u'wednesday may 11 1983', '1983-05-11')
(u'saturday may 13 1989', '1989-05-13')
(u'january 25 1976', '1976-01-25')
(u'january 29 2014', '2014-01-29')
(u'sunday february 12 1984', '1984-02-12')
(u'april 22 1975', '1975-04-22')
(u'sunday september 19 1976', '1976-09-19')
(u'10 jul 1996', '1996-07-10')
(u'10 august 2005', '2005-08-10')
(u'tuesday january 5 1988', '1988-01-05')
(u'saturday november 28 1981', '1981-11-28')
(u'tuesday january 14 1992', '1992-01-14')
(u'31 july 2006', '2006-07-31')
(u'monday may 21 1990', '1990-05-21')
(u'friday april 1 1988', '1988-04-01')
(u'26 sep 2007', '2007-09-26')
(u'26 october 2005', '2005-10-26')
(u'23 may 2002', '2002-05-23')
(u'monday october 14 1985', '1985-10-14')
(u'saturday july 14 1990', '1990-07-14')
(u'november 13 2015', '2015-11-13')
(u'march 12 2015', '2015-03-12')
(u'april 1 2015', '2015-04-01')
(u'saturday march 26 1988', '1988-03-26')
(u'08 jan 2007', '2007-01-08')
(u'08 dec 2001', '2001-12-08')
(u'24 06 10', '2010-06-24')
(u'27 09 10', '2010-09-27')
(u'6 december 2004', '2004-12-06')
(u'august 15 2015', '2015-08-15')
(u'october 23 1975', '1975-10-23')
(u'5/26/70', '1970-05-26')
(u'jun 28 1973', '1973-06-28')
